Model,Config_Number,Embedding_Dim,Units,Learning_Rate,Batch_Size,Train_Accuracy,Validation_Accuracy,Status
GRU (Model 5),1,128,128,0.001,128,87.13%,86.67%,Completed
GRU (Model 5),2,256,256,0.001,128,88.74%,87.89%,Completed
GRU (Model 5),3,128,256,0.0005,64,87.24%,86.73%,Completed
GRU (Model 5),4,256,128,0.0005,64,86.90%,86.78%,Completed
Attention (Model 6),1,128,128,0.001,128,94.19%,93.51%,Completed
Attention (Model 6),2,256,256,0.001,128,87.20%,86.53%,Completed
Attention (Model 6),3,128,256,0.0005,64,87.42%,87.39%,Completed
Attention (Model 6),4,256,128,0.0005,64,86.45%,86.35%,Completed
